lon,lat,locode
5.45107984543,22.8115005493,DZ TMR
6.71215,0.378175,
-121.927002,38.262699,US SUU
178.5590057373047,-18.04330062866211,
40.850796,41.179625,TR PZR
-63.22000122070312,17.64500045776367,NL SAB
117.216003,36.857201,CN JNA
44.21969985961914,15.47630023956299,
-61.149945,13.156695,
-89.055702,13.4409,SV SLT
5.63778,58.876701,NO SLA
-5.91689,35.726898,MA TNG
-117.190002441,32.7336006165,US SAN
-87.923599,15.4526,HN SAP
104.531997681,0.922683000565,ID TNJ
-78.04900360107422,25.05380058288575,
-98.469803,29.533701,US SAT
120.206001,22.950399,TW TNN
28.945101,61.9431,FI SVL
-81.20210266,32.12760162,US SAV
-81.14569855,32.00999832,US SAV
29.3092,40.898602,TR PEN
37.4146,55.972599,RU KKI
47.478802,-18.7969,
-117.235001,34.095402,US SBT
-5.89311,37.417999,ES SVQ
23.907,31.861,
-62.843601,17.9044,
8.110560417175293,33.93970108032227,
85.208297729492,56.380298614502,
60.802700042725,56.743099212646,RU YEK
-86.317299,41.708698,US SBN
116.5033,23.552,CN JYG
-74.104797,41.504101,
-83.8078,41.5868,
111.9850006103516,2.261600017547607,
18.9189,69.683296,NO TOS
24.09129905700684,45.78559875488281,RO SBZ
-64.583333,18.45,
-72.2029037475586,7.80132007598877,
137.1880035400391,36.64830017089844,JP TOY
-70.78579711914062,-33.39300155639648,CL PUD
-82.533203125,27.97550010681152,US TPA
7.628230094909668,48.53829956054688,FR EZI
13.521388,52.370277,DE CNF
121.233002,25.0777,TW TYN
7.10950994492,49.2145996094,DE SCN
51.09086,43.860093,
-63.108898,18.041,
-8.41514,42.896301,ES OPI
12.488,37.9114,IT MRA
12.842503,61.158393,SE SL2
53.90579986572266,12.63070011138916,
-75.83540344238281,19.96980094909668,CU SCU
26.35409927368164,47.6875,
74.7742,33.987099,
50.84510040283203,61.64699935913086,RU SCW
151.177001953125,-33.94609832763672,AU MAS
13.57499980926514,-14.9246997833252,AO SDD
-103.411003,25.5683,
10.924,63.457802,NO STJ
139.787003,38.812199,JP SKT
47.00920104980469,35.24589920043945,
10.258600235,59.1866989136,NO TRF
-84.139801,9.95705,CR PVA
140.917007,38.139702,
-76.1063003540039,43.11119842529297,US DWN
118.0589981079102,5.900899887084961,
17.44389915466309,62.52809906005859,SE TIM
-82.407401,36.475201,
117.569444,3.326667,
109.412003,18.3029,CN SYX
7.64963,45.200802,IT SMV
-69.668899536133,18.42970085144,
52.589802,29.5392,IR SYZ
-3.82001,43.427101,ES CGO
101.5490036010742,3.130579948425293,MY SHA
13.4722,45.827499,
34.787857,32.104885,IL TLV
-79.10880279541016,-8.08141040802002,
76.9200973511,8.48211956024,
36.567101,41.254501,
173.147003,1.38164,KI TRW
-122.308998,47.449001,US SEZ
13.0043001175,47.7933006287,AT SZG
78.709702,10.7654,IN TRI
14.47249984741211,26.98699951171875,
121.552001953125,25.06940078735352,
71.4612,51.02781,KZ AST
0.695556,51.5714,GB RFD
12.1944,45.648399,IT TRV
34.822498,-2.45806,
11.7834,53.426998,DE PCH
129.330993652,34.2849006653,JP TSJ
113.810997,22.639299,CN FNG
55.521801,-4.67434,
20.9377,53.481899,
10.69099998474121,34.71799850463867,
14.9022,53.584702,
117.346000671,39.1244010925,
-60.83219909667969,11.14970016479492,
-81.23750305175781,28.7775993347168,US SFB
21.33790016174316,45.80989837646485,RO GRD
-63.047199,18.099899,
128.65531,35.896872,
-114.808388,30.929912,
123.775,9.566667,
146.766512,-19.252904,AU GBT
-50.711603,67.012222,
44.1390991211,13.6859998703,
134.01600647,34.2141990662,JP TAK
-60.8117,-31.7117,AR RRS
-122.375,37.61899948120117,
134.167007,35.530102,JP TTJ
-97.8658981323,22.2964000702,
120.271004,14.7944,
21.07690048217773,64.62480163574219,
120.088171,36.361953,CN QIN
73.40180206298828,61.34370040893555,RU SGC
9.791729927062988,54.96440124511719,DK SGD
-92.3700027466,14.7943000793,
-5.320020198822,35.594299316406,MA TTU
17.4032,40.517502,IT GRT
106.652,10.8188,VN TBM
69.2811965942,41.257900238,UZ TAS
20.2411,49.073601,SK POP
-65.104897,-26.8409,
26.690399,58.307499,
0.727605998516,47.4322013855,FR PME
59.836149,41.759853,
121.33426,31.198104,
121.733150482,17.6433676823,PH TUG
141.225998,-5.27861,PG TBG
144.960006714,43.5774993896,JP SHB
63.03020095825195,25.98640060424805,
-75.452301,24.3153,BS CAT
8.87693977355957,36.97999954223633,
10.22719955444336,36.85100173950195,TN TUN
123.483002,41.639801,CN SHY
44.95470047,41.6692008972,
-110.938053,32.115004,
125.144997,24.8267,JP MMY
55.5172004699707,25.32859992980957,AE SHJ
36.6189,28.3654,
-175.1499938964844,-21.2411994934082,
41.482799530029,52.806098937988,
31.716944,-26.358611,
46.235001,38.1339,IR TBZ
-85.58219909667969,44.74140167236328,US TVC
-77.3912963867,26.745300293,
-87.611396789551,33.220600128174,US TCL
-122.475998,47.137699,
34.778099,29.587799,
-22.9494,16.7414,
118.1279983520508,4.320159912109375,
103.994003,1.35019,
33.975101,45.0522,
13.291722,52.553944,DE RKD
7.326944,46.219166,CH SIR
118.2559967041016,29.73329925537109,CN HSH
-74.060798645,40.85010147089999,US TEB
-121.929001,37.362598,US SJC
112.627998,37.746899,CN TYU
-109.721001,23.1518,
-83.994003,35.811001,
18.331499,43.8246,
-88.195775,17.517239,BZ BZE
18.7248,44.458698,
109.308889,27.883333,
-84.208801,9.99386,CR RIS
39.7897,40.995098,
27.91909980773925,41.13819885253906,TR COR
35.4259,37.002102,
-27.090799,38.761799,PT PRV
33.64020156860352,-16.10479927062988,
-45.425999,61.1605,
-1.2183,40.403,ES TER
144.929998,13.584,
-66.0018005371,18.4393997192,
114.696999,38.280701,CN SJZ
-68.418198,-31.571501,
22.8323,62.692101,FI IJK
-16.341499,28.4827,ES UNA
-62.71870040893555,17.31119918823242,
-16.5725,28.0445,ES GAB
66.98380279541016,39.70050048828125,UZ SKD
131.279006958,33.9300003052,JP UBJ
104.441284,30.31252,CN CDU
